,0
0,L0_S0_F0
1,L0_S0_F2
2,L0_S0_F4
3,L0_S0_F6
4,L0_S0_F8
5,L0_S0_F10
6,L0_S0_F12
7,L0_S0_F14
8,L0_S0_F16
9,L0_S0_F18
10,L0_S0_F20
11,L0_S0_F22
12,L0_S1_F24
13,L0_S1_F28
14,L0_S2_F36
15,L0_S2_F40
16,L0_S2_F44
17,L0_S2_F48
18,L0_S2_F56
19,L0_S2_F60
20,L0_S2_F64
21,L0_S3_F72
22,L0_S3_F76
23,L0_S3_F80
24,L0_S3_F84
25,L0_S3_F92
26,L0_S3_F96
27,L0_S3_F100
28,L0_S4_F104
29,L0_S4_F109
30,L0_S5_F114
31,L0_S5_F116
32,L0_S6_F118
33,L0_S6_F122
34,L0_S6_F132
35,L0_S7_F136
36,L0_S7_F138
37,L0_S7_F142
38,L0_S8_F144
39,L0_S9_F155
40,L0_S9_F160
41,L0_S9_F165
42,L0_S9_F170
43,L0_S9_F175
44,L0_S9_F180
45,L0_S9_F185
46,L0_S9_F190
47,L0_S9_F195
48,L0_S9_F200
49,L0_S9_F210
50,L0_S10_F219
51,L0_S10_F224
52,L0_S10_F229
53,L0_S10_F234
54,L0_S10_F249
55,L0_S10_F254
56,L0_S10_F259
57,L0_S10_F264
58,L0_S10_F274
59,L0_S11_F282
60,L0_S11_F286
61,L0_S11_F290
62,L0_S11_F294
63,L0_S11_F302
64,L0_S11_F306
65,L0_S11_F310
66,L0_S11_F314
67,L0_S11_F318
68,L0_S11_F322
69,L0_S11_F326
70,L0_S12_F330
71,L0_S12_F332
72,L0_S12_F334
73,L0_S12_F336
74,L0_S12_F338
75,L0_S12_F340
76,L0_S12_F342
77,L0_S12_F344
78,L0_S12_F346
79,L0_S12_F348
80,L0_S12_F350
81,L0_S12_F352
82,L0_S13_F354
83,L0_S13_F356
84,L0_S14_F358
85,L0_S14_F362
86,L0_S14_F370
87,L0_S14_F374
88,L0_S14_F386
89,L0_S14_F390
90,L0_S15_F403
91,L0_S15_F406
92,L0_S15_F412
93,L0_S15_F415
94,L0_S15_F418
95,L0_S16_F421
96,L0_S16_F426
97,L0_S17_F431
98,L0_S17_F433
99,L0_S18_F439
100,L0_S19_F455
101,L0_S19_F459
102,L0_S21_F477
103,L0_S21_F482
104,L0_S21_F487
105,L0_S21_F497
106,L0_S21_F507
107,L0_S21_F517
108,L0_S21_F522
109,L0_S21_F532
110,L0_S22_F546
111,L0_S22_F551
112,L0_S22_F556
113,L0_S22_F561
114,L0_S22_F571
115,L0_S22_F576
116,L0_S22_F591
117,L0_S22_F596
118,L0_S22_F606
119,L0_S22_F611
120,L0_S23_F623
121,L0_S23_F627
122,L0_S23_F631
123,L0_S23_F643
124,L0_S23_F651
125,L0_S23_F663
126,L0_S23_F671
127,L1_S24_F679
128,L1_S24_F683
129,L1_S24_F687
130,L1_S24_F691
131,L1_S24_F700
132,L1_S24_F800
133,L1_S24_F814
134,L1_S24_F816
135,L1_S24_F839
136,L1_S24_F867
137,L1_S24_F872
138,L1_S24_F877
139,L1_S24_F925
140,L1_S24_F930
141,L1_S24_F988
142,L1_S24_F1002
143,L1_S24_F1004
144,L1_S24_F1006
145,L1_S24_F1021
146,L1_S24_F1031
147,L1_S24_F1036
148,L1_S24_F1068
149,L1_S24_F1110
150,L1_S24_F1122
151,L1_S24_F1126
152,L1_S24_F1130
153,L1_S24_F1134
154,L1_S24_F1145
155,L1_S24_F1148
156,L1_S24_F1166
157,L1_S24_F1170
158,L1_S24_F1172
159,L1_S24_F1180
160,L1_S24_F1184
161,L1_S24_F1207
162,L1_S24_F1212
163,L1_S24_F1260
164,L1_S24_F1265
165,L1_S24_F1275
166,L1_S24_F1298
167,L1_S24_F1303
168,L1_S24_F1316
169,L1_S24_F1326
170,L1_S24_F1346
171,L1_S24_F1371
172,L1_S24_F1391
173,L1_S24_F1396
174,L1_S24_F1411
175,L1_S24_F1416
176,L1_S24_F1421
177,L1_S24_F1436
178,L1_S24_F1463
179,L1_S24_F1482
180,L1_S24_F1490
181,L1_S24_F1494
182,L1_S24_F1498
183,L1_S24_F1512
184,L1_S24_F1514
185,L1_S24_F1516
186,L1_S24_F1518
187,L1_S24_F1520
188,L1_S24_F1539
189,L1_S24_F1544
190,L1_S24_F1565
191,L1_S24_F1567
192,L1_S24_F1569
193,L1_S24_F1571
194,L1_S24_F1573
195,L1_S24_F1575
196,L1_S24_F1578
197,L1_S24_F1581
198,L1_S24_F1594
199,L1_S24_F1599
200,L1_S24_F1604
201,L1_S24_F1609
202,L1_S24_F1622
203,L1_S24_F1632
204,L1_S24_F1637
205,L1_S24_F1642
206,L1_S24_F1652
207,L1_S24_F1662
208,L1_S24_F1667
209,L1_S24_F1672
210,L1_S24_F1685
211,L1_S24_F1690
212,L1_S24_F1695
213,L1_S24_F1700
214,L1_S24_F1713
215,L1_S24_F1718
216,L1_S24_F1723
217,L1_S24_F1733
218,L1_S24_F1738
219,L1_S24_F1743
220,L1_S24_F1748
221,L1_S24_F1753
222,L1_S24_F1758
223,L1_S24_F1763
224,L1_S24_F1773
225,L1_S24_F1778
226,L1_S24_F1783
227,L1_S24_F1788
228,L1_S24_F1798
229,L1_S24_F1803
230,L1_S24_F1808
231,L1_S24_F1810
232,L1_S24_F1812
233,L1_S24_F1814
234,L1_S24_F1816
235,L1_S24_F1818
236,L1_S24_F1820
237,L1_S24_F1822
238,L1_S24_F1829
239,L1_S24_F1831
240,L1_S24_F1836
241,L1_S24_F1838
242,L1_S24_F1842
243,L1_S24_F1844
244,L1_S24_F1846
245,L1_S24_F1848
246,L1_S24_F1850
247,L1_S25_F1855
248,L1_S25_F1858
249,L1_S25_F1881
250,L1_S25_F1885
251,L1_S25_F1890
252,L1_S25_F1892
253,L1_S25_F1900
254,L1_S25_F1943
255,L1_S25_F1948
256,L1_S25_F1963
257,L1_S25_F1973
258,L1_S25_F2007
259,L1_S25_F2016
260,L1_S25_F2036
261,L1_S25_F2046
262,L1_S25_F2051
263,L1_S25_F2101
264,L1_S25_F2111
265,L1_S25_F2116
266,L1_S25_F2121
267,L1_S25_F2126
268,L1_S25_F2155
269,L1_S25_F2170
270,L1_S25_F2176
271,L1_S25_F2231
272,L1_S25_F2233
273,L1_S25_F2307
274,L1_S25_F2429
275,L1_S25_F2431
276,L1_S25_F2433
277,L1_S25_F2439
278,L1_S25_F2506
279,L1_S25_F2672
280,L1_S25_F2677
281,L1_S25_F2783
282,L1_S25_F2808
283,L1_S25_F2823
284,L1_S25_F2828
285,L1_S25_F2837
286,L1_S25_F2896
287,L1_S25_F2960
288,L1_S25_F3001
289,L1_S25_F3032
290,L2_S26_F3036
291,L2_S26_F3040
292,L2_S26_F3047
293,L2_S26_F3051
294,L2_S26_F3062
295,L2_S26_F3069
296,L2_S26_F3073
297,L2_S26_F3106
298,L2_S26_F3113
299,L2_S26_F3117
300,L2_S26_F3121
301,L2_S26_F3125
302,L2_S27_F3129
303,L2_S27_F3133
304,L2_S27_F3140
305,L2_S27_F3144
306,L2_S27_F3155
307,L2_S27_F3162
308,L2_S27_F3166
309,L2_S27_F3199
310,L2_S27_F3206
311,L2_S27_F3210
312,L2_S27_F3214
313,L2_S28_F3237
314,L2_S28_F3248
315,L2_S28_F3292
316,L2_S28_F3303
317,L3_S29_F3315
318,L3_S29_F3318
319,L3_S29_F3321
320,L3_S29_F3324
321,L3_S29_F3327
322,L3_S29_F3330
323,L3_S29_F3333
324,L3_S29_F3336
325,L3_S29_F3339
326,L3_S29_F3342
327,L3_S29_F3345
328,L3_S29_F3348
329,L3_S29_F3351
330,L3_S29_F3354
331,L3_S29_F3357
332,L3_S29_F3360
333,L3_S29_F3367
334,L3_S29_F3370
335,L3_S29_F3373
336,L3_S29_F3376
337,L3_S29_F3379
338,L3_S29_F3382
339,L3_S29_F3385
340,L3_S29_F3388
341,L3_S29_F3395
342,L3_S29_F3401
343,L3_S29_F3404
344,L3_S29_F3407
345,L3_S29_F3421
346,L3_S29_F3424
347,L3_S29_F3427
348,L3_S29_F3430
349,L3_S29_F3433
350,L3_S29_F3436
351,L3_S29_F3439
352,L3_S29_F3442
353,L3_S29_F3449
354,L3_S29_F3452
355,L3_S29_F3455
356,L3_S29_F3458
357,L3_S29_F3461
358,L3_S29_F3467
359,L3_S29_F3473
360,L3_S29_F3476
361,L3_S29_F3479
362,L3_S29_F3491
363,L3_S30_F3494
364,L3_S30_F3499
365,L3_S30_F3504
366,L3_S30_F3509
367,L3_S30_F3514
368,L3_S30_F3519
369,L3_S30_F3524
370,L3_S30_F3529
371,L3_S30_F3534
372,L3_S30_F3539
373,L3_S30_F3544
374,L3_S30_F3549
375,L3_S30_F3554
376,L3_S30_F3559
377,L3_S30_F3564
378,L3_S30_F3574
379,L3_S30_F3579
380,L3_S30_F3584
381,L3_S30_F3589
382,L3_S30_F3604
383,L3_S30_F3609
384,L3_S30_F3624
385,L3_S30_F3629
386,L3_S30_F3634
387,L3_S30_F3639
388,L3_S30_F3644
389,L3_S30_F3649
390,L3_S30_F3664
391,L3_S30_F3669
392,L3_S30_F3674
393,L3_S30_F3679
394,L3_S30_F3684
395,L3_S30_F3689
396,L3_S30_F3704
397,L3_S30_F3709
398,L3_S30_F3734
399,L3_S30_F3744
400,L3_S30_F3749
401,L3_S30_F3754
402,L3_S30_F3759
403,L3_S30_F3764
404,L3_S30_F3769
405,L3_S30_F3774
406,L3_S30_F3784
407,L3_S30_F3794
408,L3_S30_F3799
409,L3_S30_F3804
410,L3_S30_F3809
411,L3_S30_F3819
412,L3_S30_F3829
413,L3_S32_F3850
414,L3_S33_F3855
415,L3_S33_F3857
416,L3_S33_F3859
417,L3_S33_F3861
418,L3_S33_F3865
419,L3_S33_F3873
420,L3_S34_F3876
421,L3_S34_F3878
422,L3_S35_F3889
423,L3_S35_F3894
424,L3_S35_F3896
425,L3_S36_F3920
426,L3_S36_F3924
427,L3_S36_F3934
428,L3_S36_F3938
429,L3_S37_F3948
430,L3_S37_F3950
431,L3_S38_F3952
432,L3_S38_F3956
433,L3_S38_F3960
434,L3_S39_F3968
435,L3_S40_F3982
436,L3_S40_F3984
437,L3_S40_F3986
438,L3_S41_F4006
439,L3_S41_F4008
440,L3_S41_F4011
441,L3_S41_F4016
442,L3_S41_F4018
443,L3_S41_F4023
444,L3_S43_F4070
445,L3_S44_F4112
446,L3_S44_F4118
447,L3_S45_F4124
448,L3_S47_F4138
449,L3_S47_F4143
450,L3_S47_F4153
451,L3_S47_F4158
452,L3_S47_F4163
453,L3_S48_F4196
454,L3_S48_F4198
455,L3_S49_F4211
456,L3_S49_F4221
457,L3_S49_F4231
458,Min
459,Max
460,Diff
461,Evol
462,NbFeats
463,StationLast
464,NbStations
465,PathDupe
466,PathNoDupe
467,L0_S0_D5
468,L0_S2_D34
469,L0_S3_D70
470,L0_S3_D74
471,L0_S4_D106
472,L0_S4_D111
473,L0_S5_D115
474,L0_S5_D117
475,L0_S6_D120
476,L0_S6_D134
477,L0_S7_D137
478,L0_S7_D139
479,L0_S7_D143
480,L0_S8_D145
481,L0_S9_D157
482,L0_S9_D162
483,L0_S10_D221
484,L0_S10_D226
485,L0_S11_D284
486,L0_S11_D288
487,L0_S11_D292
488,L0_S12_D331
489,L0_S15_D395
490,L0_S17_D432
491,L0_S17_D434
492,L0_S18_D451
493,L0_S19_D454
494,L0_S20_D462
495,L0_S21_D474
496,L0_S22_D548
497,L0_S23_D621
498,L1_S24_D818
499,L1_S24_D1005
500,L1_S24_D1277
501,L1_S24_D1513
502,L1_S24_D1583
503,L1_S24_D1601
504,L1_S24_D1765
505,L1_S24_D1830
506,L1_S25_D1911
507,L1_S25_D1980
508,L1_S25_D2251
509,L1_S25_D2260
510,L1_S25_D2430
511,L1_S25_D2674
512,L1_S25_D2782
513,L1_S25_D2957
514,L2_S26_D3037
515,L2_S26_D3041
516,L2_S27_D3130
517,L2_S27_D3134
518,L2_S28_D3223
519,L2_S28_D3238
520,L3_S29_D3316
521,L3_S29_D3319
522,L3_S29_D3474
523,L3_S29_D3477
524,L3_S30_D3496
525,L3_S30_D3501
526,L3_S30_D3506
527,L3_S30_D3566
528,L3_S30_D3571
529,L3_S32_D3852
530,L3_S33_D3856
531,L3_S33_D3858
532,L3_S33_D3860
533,L3_S33_D3862
534,L3_S34_D3877
535,L3_S34_D3879
536,L3_S34_D3881
537,L3_S34_D3883
538,L3_S35_D3886
539,L3_S35_D3891
540,L3_S35_D3895
541,L3_S36_D3919
542,L3_S36_D3921
543,L3_S36_D3925
