,0
0,L0_S0_F6
1,L0_S0_F16
2,L0_S0_F18
3,L0_S0_F20
4,L0_S1_F24
5,L0_S2_F44
6,L0_S2_F64
7,L0_S3_F80
8,L0_S3_F84
9,L0_S3_F100
10,L0_S4_F104
11,L0_S4_F109
12,L0_S5_F116
13,L0_S6_F132
14,L0_S7_F142
15,L0_S9_F170
16,L0_S9_F185
17,L0_S9_F195
18,L0_S9_F200
19,L0_S9_F210
20,L0_S10_F244
21,L0_S10_F259
22,L0_S11_F286
23,L0_S11_F290
24,L0_S11_F314
25,L0_S11_F326
26,L0_S12_F330
27,L0_S12_F350
28,L0_S13_F354
29,L0_S14_F362
30,L0_S14_F390
31,L0_S16_F421
32,L0_S18_F439
33,L0_S18_F449
34,L0_S22_F551
35,L0_S22_F556
36,L0_S22_F571
37,L0_S22_F576
38,L0_S22_F601
39,L0_S22_F606
40,L1_S24_F679
41,L1_S24_F691
42,L1_S24_F829
43,L1_S24_F844
44,L1_S24_F867
45,L1_S24_F872
46,L1_S24_F882
47,L1_S24_F902
48,L1_S24_F998
49,L1_S24_F1002
50,L1_S24_F1012
51,L1_S24_F1036
52,L1_S24_F1180
53,L1_S24_F1303
54,L1_S24_F1421
55,L1_S24_F1494
56,L1_S24_F1498
57,L1_S24_F1512
58,L1_S24_F1516
59,L1_S24_F1518
60,L1_S24_F1520
61,L1_S24_F1573
62,L1_S24_F1604
63,L1_S24_F1632
64,L1_S24_F1695
65,L1_S24_F1700
66,L1_S24_F1723
67,L1_S24_F1758
68,L1_S24_F1783
69,L1_S24_F1798
70,L1_S24_F1831
71,L1_S24_F1844
72,L1_S24_F1846
73,L1_S25_F1958
74,L1_S25_F1968
75,L1_S25_F2111
76,L1_S25_F2126
77,L1_S25_F2158
78,L1_S25_F2233
79,L1_S25_F2237
80,L1_S25_F2247
81,L1_S25_F2451
82,L1_S25_F2460
83,L1_S25_F2468
84,L2_S26_F3040
85,L2_S26_F3051
86,L2_S26_F3069
87,L2_S26_F3073
88,L2_S26_F3106
89,L2_S26_F3113
90,L2_S26_F3121
91,L2_S27_F3129
92,L2_S27_F3133
93,L2_S27_F3144
94,L2_S27_F3155
95,L2_S27_F3162
96,L2_S27_F3166
97,L2_S27_F3210
98,L2_S27_F3214
99,L3_S29_F3315
100,L3_S29_F3321
101,L3_S29_F3333
102,L3_S29_F3336
103,L3_S29_F3339
104,L3_S29_F3342
105,L3_S29_F3345
106,L3_S29_F3351
107,L3_S29_F3354
108,L3_S29_F3373
109,L3_S29_F3376
110,L3_S29_F3382
111,L3_S29_F3407
112,L3_S29_F3427
113,L3_S29_F3430
114,L3_S29_F3433
115,L3_S29_F3473
116,L3_S29_F3479
117,L3_S30_F3494
118,L3_S30_F3514
119,L3_S30_F3519
120,L3_S30_F3534
121,L3_S30_F3554
122,L3_S30_F3574
123,L3_S30_F3584
124,L3_S30_F3589
125,L3_S30_F3609
126,L3_S30_F3634
127,L3_S30_F3669
128,L3_S30_F3704
129,L3_S30_F3744
130,L3_S30_F3749
131,L3_S30_F3759
132,L3_S30_F3764
133,L3_S30_F3769
134,L3_S30_F3774
135,L3_S30_F3794
136,L3_S30_F3804
137,L3_S30_F3809
138,L3_S30_F3829
139,L3_S32_F3850
140,L3_S33_F3855
141,L3_S33_F3857
142,L3_S33_F3859
143,L3_S33_F3865
144,L3_S34_F3876
145,L3_S35_F3889
146,L3_S36_F3920
147,L3_S36_F3930
148,L3_S38_F3952
149,L3_S38_F3956
150,L3_S38_F3960
151,Min
152,Max
153,Diff
154,Evol
155,L0_S0_D1
156,L0_S2_D34
157,L0_S3_D70
158,L0_S4_D106
159,L0_S12_D331
160,L0_S18_D437
161,L1_S24_D1522
162,L1_S24_D1583
163,L1_S24_D1830
164,L1_S25_D2232
165,L1_S25_D2238
166,L2_S26_D3037
167,L2_S27_D3130
168,L3_S29_D3474
169,L3_S30_D3496
170,L3_S30_D3566
171,L3_S31_D3836
172,L3_S32_D3852
173,L3_S33_D3856
174,L3_S34_D3877
175,L3_S35_D3886
176,L3_S36_D3919
177,L3_S37_D3945
178,L3_S38_D3953
179,L3_S32_F3854
